Kezdet	Vég	Adatgazda	Mód	Minta	Fidesz	TISZA	Bal	MH	MKKP	EM	kod	FideszV	TiszaV	DKV	MiHazankV	MKKPV	EMV
2025.06.16	2025.06.25	Závecz	Telefonos	1500	35	46	6	7	4		230	37.2236	46.1034	4.96	5.6	3.5108	
2025.06.23	2025.06.25	Publicus	Telefonos	1001	37	44	10	5	1		230	37.2236	45.2028	5.5604	5.4499	3.2106	
2025.06.16	2025.06.17	Nézőpont	Telefonos	1000	44	39	3	7	4		229	37.1192	45.0984	5.5604	5.4499	3.4194	
2025.06.03	2025.06.07	Medián	Telefonos	1000	36	51	3	5	3		227	37.2634	44.5216	5.7046	5.7383	3.2752	
2025.05.28	2025.06.03	Republikon	Telefonos	1000	34	43	7	7	6		227	37.4508	43.5846	5.7046	5.9257	3.4626	
2025.05.15	2025.05.23	IDEA	Online	1500	37	44	6	5	4		225	37.3514	43.2864	5.9034	5.8263	3.3632	
2025.05.12	2025.05.16	Publicus	Telefonos	1000	36	43	10	5	3		224	37.2243	43.4135	5.7763	6.0805	3.2361	
2025.04.03	2025.04.09	Publicus	Telefonos	1000	37	41	11	5	3		219	37.3287	43.2047	5.8807	6.0805	3.2361	
2025.04.01	2025.04.07	21 Kutató	Hibrid	1000	37	51	3	4	3		219	37.5375	43.2047	5.8807	6.0805	3.1317	
2025.03.26	2025.04.01	Republikon	Telefonos	1000	33	40	9	6	5		218	38.0997	41.5181	6.2555	6.2679	3.3191	
2025.03.16	2025.03.25	Závecz	Személyes	1000	35	40	10	6	2		217	38.3979	41.2199	6.2555	6.4667	3.4185	
2025.03.10	2025.03.12	Nézőpont	Telefonos	1000	45	35	4	9	3		215	38.3979	41.0698	6.1054	6.6168	3.7187	
2025.03.05	2025.03.11	Publicus	Telefonos	1000	39	41	11	5	2		215	38.6863	41.3582	6.2496	5.8958	3.7187	
2025.02.27	2025.03.08	Medián	Telefonos	1000	37	46	3	6	4		214	38.4775	41.4626	6.2496	5.8958	3.8231	
2025.02.22	2025.02.26	Republikon	Telefonos	1000	36	37	9	8	6		213	38.2901	41.65	6.437	5.8958	3.8231	
2025.01.20	2025.01.29	Publicus	Telefonos	3060	37	42	11	5	3		209	37.8925	41.8488	6.6358	5.7964	3.7237	
2025.01.14	2025.01.22	Republikon	Telefonos	1000	32	39	11	7	5		208	37.7881	41.8488	6.6358	5.7964	3.7237	
2024.12.31	2025.01.10	IDEA	Online	1500	36	45	5	7	3		206	37.6887	41.65	6.6358	5.8958	3.7237	
2024.12.11	2024.12.17	Publicus	Telefonos	1000	36	42	11	5	3		204	37.8158	41.3958	6.6358	5.7687	3.7237	
2024.12.09	2024.12.11	Nézőpont	Telefonos	1000	47	37	5	4	3		203	38.0246	41.0826	6.7402	5.7687	3.7237	
2024.11.29	2024.12.06	IDEA	Online	1500	37	43	5	6	3		202	37.8804	40.65	6.7402	6.3455	3.8679	
2024.11.28	2024.12.05	Republikon	Telefonos	1000	31	37	11	8	5		202	38.0075	40.3958	6.8673	6.4726	3.8679	
2024.11.20	2024.11.30	Závecz	Személyes	1000	35	39	9	7	4		201	38.6039	40.2964	6.8673	6.4726	3.6691	
2024.11.20	2024.11.26	Medián	Telefonos	1200	36	47	4	6	4		201	39.2043	39.696	6.8673	6.1724	3.6691	
2024.11.14	2024.11.19	Publicus	Telefonos	1000	38	39	12	5	3		200	39.7665	39.5086	6.8673	6.1724	3.4817	
2024.11.11	2024.11.13	Nézőpont	Telefonos	1000	46	34	5	8	4		199	39.6621	39.5086	6.6585	6.068	3.5861	
2024.10.31	2024.11.08	IDEA	Online	1500	38	41	6	7	3		198	40.0947	39.5086	6.3701	5.6354	3.5861	
2024.10.28	2024.11.04	Medián	Telefonos	1000	39	46	4	6	3		198	40.2218	39.0002	6.4972	5.6354	3.7132	
2024.10.24	2024.10.29	Republikon	Telefonos	1000	37	36	11	8	3		197	40.9714	37.6884	6.3098	5.2606	3.7132	
2024.10.11	2024.10.18	Publicus	Telefonos	1000	37	39	10	4	4		195	40.9714	35.7998	7.602	4.9624	3.912	
2024.10.14	2024.10.17	Nézőpont	Telefonos	1000	49	34	3	5	4		195	41.5978	34.3382	8.124	5.0668	3.912	
2024.10.09	2024.10.15	21 Kutató	Hibrid	1000	40	42	5	5	4		195	41.3094	34.194	8.845	5.211	3.6236	
2024.09.28	2024.10.08	Závecz	Személyes	1000	39	35	9	5	4		194	42.059	32.32	9.4072	5.5858	3.6236	
2024.09.27	2024.10.07	IDEA	Online	1500	39	37	7	7	4		194	42.5093	32.0198	9.5573	5.886	3.3234	
2024.09.16	2024.09.18	Nézőpont	Telefonos	1000	47	33	8	6	2		191	42.5093	31.6385	9.9386	5.886	3.1963	
2024.09.03	2024.09.10	Medián	Telefonos	1000	43	39	3	4	3		190	42.5093	31.0617	9.9386	6.3186	3.6289	
2024.08.28	2024.09.06	IDEA	Online	1500	39	34	10	7	3		189	42.5093	29.5625	11.063	6.8808	4.0037	
2024.08.21	2024.08.31	Závecz	Személyes	1000	42	33	10	7	2		188	42.7635	29.5625	11.063	6.7537	4.0037	
2024.07.24	2024.07.31	IDEA	Online	1500	41	34	10	6	3		184	43.2138	28.6619	11.2131	6.4535	4.1538	
2024.07.15	2024.07.17	Nézőpont	Telefonos	1000	47	29	8	9	5		182	43.2138	28.4077	11.086	6.4535	4.1538	
2024.07.04	2024.07.10	Medián	Telefonos	1000	43	31	9	7	5		181	43.2138	27.6867	11.2302	6.1651	4.4422	
2024.06.19	2024.06.27	IDEA	Online	1500	41	32	9	6	3		179	44.5256	26.9371	11.2302	5.7903	4.2548	
2024.06.06	2024.06.08	21 Kutató	Hibrid	1200	44	32	8	7	4		176	44.9069	26.1745	11.6115	5.6632	4.3819	
2024.06.03	2024.06.05	Publicus	Telefonos	1001	43	25	15	5	4		176	44.9069	24.83103618	14.0477	5.6632	5.1315	
2024.05.31	2024.06.05	Medián	Telefonos	1000	50	27	9	5	4		176	44.8025	24.57408319	14.9873	5.5588	4.9227	
2024.05.24	2024.06.02	Závecz	Személyes	1000	45	27	11	5	3		176	44.4277	25.03531873	14.6125	5.7462	4.5479	
2024.05.20	2024.05.29	IDEA	Online	1500	44	26	12	5	4		175	43.5271	24.850603	15.5131	5.8963	4.5479	
2024.05.27	2024.05.29	Medián	Telefonos	1000	48	29	7	6	2		175	43.0187	24.06854541	16.1486	5.7692	4.675	
2024.05.20	2024.05.22	Nézőpont	Telefonos	1000	47	24	9	7	7		174	42.4565	23.14607433	16.5234	5.3944	5.4246	
2024.05.02	2024.05.10	Závecz	Személyes	1000	39	26	17	6	3		172	42.6007	22.436254	16.8118	5.106	5.4246	
2024.04.25	2024.05.04	IDEA	Online	1500	40	21	17	4	5		171	41.7001	20.21966527	18.1627	5.4062	5.7248	
2024.04.29	2024.05.02	Nézőpont	Telefonos	1000	48	20	11	5	7		171	41.4459	20.07498177	18.544	5.6604	5.8519	
2024.04.26	2024.04.30	Publicus	Telefonos	1000	42	23	24	4	2		171	41.3017	18.60247994	18.8324	5.8046	6.4287	
2024.04.26	2024.04.29	Medián	Telefonos	1000	45	25	9	4	6		171	41.7193	17.81242471	18.9368	5.8046	6.6375	
2024.04.22	2024.04.26	Republikon	Telefonos	1000	37	17	24	5	5		170	41.9067	14.39116078	19.8738	6.5542	7.5745	
2024.04.04	2024.04.11	Závecz	Telefonos	1000	33	14	26	8	5		168	43.2983	13.51002379	19.8738	6.9518	7.1769	
2024.03.31	2024.04.08	IDEA	Online	1500	38		20	6	6		168	45.0995	13	19.7237	7.252	7.0268	
2024.04.02	2024.04.04	Nézőpont	Telefonos	1000	47	13	13	6	11		167	45.6079	13	20.105	7.3791	7.1539	
2024.02.29	2024.03.12	IDEA	Online	1500	42		23	7	7		164	45.6079		20.826	7.6675	6.7213	
2024.02.29	2024.03.09	Závecz	Személyes	1000	45		25	10	4		163	45.8621		20.9531	7.9217	6.5942	
2024.03.06	2024.03.09	Medián	Telefonos	1000	46		14	8	11		163	46.3124		20.9531	7.6215	6.4441	
2024.02.26	2024.02.28	Nézőpont	Telefonos	1000	47		18	8	8		162	47.6242		20.9531	7.6215	5.5071	
2024.02.22	2024.02.26	21 Kutató	Online	1200	44		21	7	8		162	48.0568		20.8089	7.4773	5.5071	
2024.01.31	2024.02.09	IDEA	Online	1500	44		24	9	6		159	48.4316		20.9963	7.6647	4.7575	
2024.01.09	2024.01.11	Medián	Telefonos	1000	53		14	8	6		155	48.6858		20.9963	7.6647	4.6304	
2023.12.27	2024.01.08	IDEA	Online	1500	46		24	9	5		155	47.374		21.1837	8.0395	4.8178	
2024.01.02	2024.01.05	Nézőpont	Telefonos	1000	50		17	7	8		154	46.9927		21.1837	8.0395	5.072	
2023.12.12	2023.12.15	Publicus	Telefonos	1003	46		25	4	4		152	47.1369		20.4627	8.3279	5.072	
2023.11.30	2023.12.13	IDEA	Online	1500	43		24	9	7		152	47.2413		20.2539	8.5367	5.1764	
2023.01.30	2023.11.30	21 Kutató	Online	1200	46		22	8	4		150	47.4955		20.2539	8.4096	5.0493	
2023.10.31	2023.11.16	IDEA	Online	1500	45		24	8	6		148	46.7459		19.8791	8.4096	5.2367	
2023.10.29	2023.11.08	Závecz	Személyes	1000	48		25	8	3		147	46.7459		19.752	8.5367	5.1096	
2023.09.28	2023.10.13	IDEA	Online	1500	45		23	9	5		143	46.4457		19.752	8.8369	5.4098	
2023.09.22	2023.09.27	Medián	Telefonos	1000	46		15	10	7		141	46.4457		19.6249	8.964	5.5369	
2023.09.08	2023.09.18	Závecz	Személyes	1000	46		25	10	5		140	47.0079		19.8123	8.4018	5.9117	
2023.08.28	2023.09.08	IDEA	Online	1800	45		22	10	6		138	47.6083		19.8123	7.9515	5.6115	
2023.08.30	2023.09.07	Publicus	Telefonos	1000	47		23	6	5		138	47.7354		19.9394	7.8244	5.6115	
2023.09.04	2023.09.06	Nézőpont	Telefonos	1000	51		12	9	8		138	47.8398		19.6262	7.6156	5.5071	
2023.08.24	2023.08.29	21 Kutató	Online	1500	42		20	8	5		137	47.8398		20.6356	7.183	4.7861	
2023.07.28	2023.08.09	IDEA	Online	1800	46		23	9	6		134	46		23	9	6	
2023.06.28	2023.07.19	IDEA	Online	1800	48		23	8	6		131	48		23	8	6	
2023.05.25	2023.06.10	IDEA	Online	1800	48		23	8	6		125	48.5		19.5	7.5	7.5	
2023.05.26	2023.05.31	Medián	Telefonos	1000	49		16	7	9		124	49		20.25	7.5	6	
2023.04.27	2023.05.19	IDEA	Online	1800	48		23	9	6		122	49.5		20.75	7.25	5.25	
2023.05.15	2023.05.17	Nézőpont	Telefonos	1000	51		19	6	3		122	49.5		20.75	7.25	5.25	
2023.04.28	2023.05.05	Závecz	Személyes	1000	50		25	7	3		120	49.66666667		22.33333333	7.333333333	4	
2023.03.25	2023.04.13	IDEA	Online	1800	49		23	9	5		117	49		23	9	5	
2023.02.25	2023.03.16	IDEA	Online	1800	48		23	9	6		113	49.3		21.23333333	8	5.033333333	
2023.02.28	2023.03.08	Závecz	Személyes	1000	48.9		23.7	9	3.1		112	49.975		19.675	8.25	6.025	
2023.02.21	2023.02.27	Medián	Telefonos	1000	51		17	6	6		111	49.58		20.74	8.4	5.82	
2023.02.20	2023.02.22	Nézőpont	Telefonos	1000	52		15	9	9		110	49.975		20.175	8.25	5.775	
2023.01.30	2023.02.15	IDEA	Online	1800	48		25	9	5		109	50.33333333		19	8	6.666666667	
2022.12.31	2023.01.11	IDEA	Online	1800	48		25	9	5		104	49.8		20.4	7.4	4.8	
2023.01.02	2023.01.04	Nézőpont	Telefonos	1000	56		17	6	4		103	49.8		20.4	7.4	4.8	
2022.12.12	2022.12.16	Publicus	Telefonos	1002	48		20	4	4		102	49.8		20.4	7.4	4.8	
2022.12.09	2022.12.15	Medián	Telefonos	1000	50		15	8	7		102	49.8		20.4	7.4	4.8	
2022.11.29	2022.12.12	IDEA	Online	1800	47		25	10	4		102	49.8		20.4	7.4	4.8	
2022.11.14	2022.11.22	Závecz	Személyes	1000	50		23	8	3		99	51		23.5	8	3.5	
2022.10.28	2022.11.08	IDEA	Online	1800	52		24	8	4		97	51		23.66666667	8.333333333	2.666666667	
2022.10.19	2022.10.24	Republikon	Telefonos	1000	51		24	9	1		95	52		19.6	7.6	3.8	
2022.10.15	2022.10.21	Medián	Telefonos	1000	54		15	8	8		94	52		18.5	7.5	3.75	
2022.10.17	2022.10.19	Nézőpont	Telefonos	1000	52		11	4	3		94	52		18.5	7.5	3.75	
2022.09.29	2022.10.09	IDEA	Online	1800	51		24	9	3		93	52		18.5	7.5	3.75	
2022.09.14	2022.09.22	Závecz	Személyes	1000	52		22	8	2		90	51		22	8.5	3.5	
2022.08.31	2022.09.09	IDEA	Online	1800	50		22	9	5		88	49.25		17.25	7	3.75	
2022.08.29	2022.08.31	Nézőpont	Telefonos	1000	47		7	6	4		87	48.33333333		15.66666667	6.666666667	4.333333333	
2022.08.25	2022.08.30	Publicus	Telefonos	1000	48		18	5	4		87	48.33333333		15.66666667	6.666666667	4.333333333	
2022.07.27	2022.08.07	IDEA	Online	1800	51		21	9	5		84	51		21	9	5	
2022.07.20	2022.07.22	Publicus	Telefonos	1004	44		17	6	5		81	50.66666667		14	6.666666667	5.333333333	
2022.07.09	2022.07.20	IDEA	Online	1800	54		18	9	6		81	50.66666667		14	6.666666667	5.333333333	
2022.07.11	2022.07.13	Nézőpont	Telefonos	1000	54		7	5	5		80	50.66666667		14	6.666666667	5.333333333	
2022.06.20	2022.06.22	Nézőpont	Telefonos	1000	55		8	6	5		77	55		8	6	5	
2022.04.29	2022.05.09	IDEA	Online	1800	57		16	8	4		71	59		14.33333333	7.666666667	3.666666667	
2022.04.25	2022.05.04	Závecz	Személyes	1000	60		17	8	1		70	58.25		10.75	7	3.5	
2022.04.26	2022.04.30	Medián	Telefonos	1000	60		10	7	6		69	58.25		10.75	7	3.5	
2022.04.19	2022.04.21	Nézőpont	Telefonos	1000	56			5	3	34	68	58.66666667		9	6.666666667	3.333333333	
2022.03.29	2022.03.31	Publicus	Telefonos	1025	47			3	2	47	65	47.66666667			2.666666667	2.166666667	43.66666667
2022.03.22	2022.03.28	IDEA	Online	1800	50			3	2	45	65	47.66666667			2.666666667	2.166666667	43.66666667
2022.03.21	2022.03.26	Závecz	Személyes	1000	50			3	1	46	64	48			2.857142857	2.285714286	43.57142857
2022.03.21	2022.03.25	Publicus	Telefonos	1000	41			2	2	39	64	48			2.857142857	2.285714286	43.57142857
2022.03.23	2022.03.25	Nézőpont	Telefonos	1000	49			3	3	44	64	48			2.857142857	2.285714286	43.57142857
2022.03.16	2022.03.21	Nézőpont	Telefonos	1000	49			2	3	41	64	48			2.857142857	2.285714286	43.57142857
2022.03.02	2022.03.11	IDEA	Online	2000	50			4	3	43	62	48			3	2.5	42.66666667
2022.02.22	2022.02.26	Medián	Telefonos	1100	49			4	3	43	60	49.83333333			3	2.333333333	43.33333333
2022.02.14	2022.02.16	Nézőpont	Telefonos	1000	50			3	3	43	59	49.8			2.8	2.2	43.4
2022.02.02	2022.02.10	Závecz	Személyes	1000	49			3	2	46	58	49.8			2.8	2.2	43.4
2022.01.31	2022.02.09	IDEA	Online	2000	49			4	3	44	58	49.8			2.8	2.2	43.4
2022.02.07	2022.02.09	Nézőpont	Telefonos	1000	52					41	58	49.8			2.8	2.2	43.4
2022.01.04	2022.01.14	IDEA	Online	2000	48			4	4	44	54	49			3.5	3.5	43.5
2022.01.03	2022.01.05	Nézőpont	Telefonos	1000	50			3	3	43	53	49.6			2.2	2	45
2021.12.13	2021.12.15	Nézőpont	Telefonos	1000	55					43	51	48.8			2.4	2.4	45.2
2021.11.29	2021.12.13	IDEA	Online	2000	47			4	3	46	51	48.8			2.4	2.4	45.2
2021.12.04	2021.12.13	Závecz	Személyes	1000	48					49	51	48.8			2.4	2.4	45.2
2021.12.04	2021.12.07	Medián	Telefonos	1000	44			5	6	45	50	48.4			1.8	1.8	46.46
2021.11.15	2021.11.24	Závecz	Személyes	1000	48					49.3	48	49.33333333			1.666666667	2	45.43333333
2021.11.08	2021.11.10	Nézőpont	Telefonos	1000	56					42	46	52.8			0.6	0.6	44.06
2021.10.26	2021.11.05	IDEA	Online	2000	48			3	3	45	45	53.25			0.5	0.5	43.93333333
2021.11.02	2021.11.03	Nézőpont	Telefonos	1000	56					42	45	53.25			0.5	0.5	43.93333333
2021.10.25	2021.10.27	Nézőpont	Telefonos	1000	56					42	44	53.64285714			0.428571429	0.428571429	43.65714286
2021.10.18	2021.10.20	Nézőpont	Telefonos	1000	56					43	43	51.61111111			1.111111111	1.222222222	44.51111111
2021.10.11	2021.10.19	Závecz	Személyes	1000	47.5					49.6	43	51.61111111			1.111111111	1.222222222	44.51111111
2021.10.11	2021.10.13	Nézőpont	Telefonos	1000	56					42	42	51.8125			0.875	1	44.7
2021.09.30	2021.10.09	IDEA	Online	2000	47			3	3	47	41	51.13333333			0.777777778	0.888888889	45.53333333
2021.10.04	2021.10.06	Nézőpont	Telefonos	1000	54					43	41	51.13333333			0.777777778	0.888888889	45.53333333
2021.09.29	2021.10.04	Medián	Telefonos	1000	44			4	5	47	41	51.13333333			0.777777778	0.888888889	45.53333333
2021.09.27	2021.09.29	Nézőpont	Telefonos	1000	54					44	40	50.95714286			1	1.142857143	45.31428571
2021.09.20	2021.09.21	Nézőpont	Telefonos	1000	53					45	39	49.95714286			1.428571429	1.571428571	45.74285714
2021.09.13	2021.09.20	Závecz	Személyes	1000	48.7					49.2	39	49.95714286			1.428571429	1.571428571	45.74285714
2021.08.31	2021.09.07	IDEA	Online	2000	49			3	3	45	37	50.675			0.75	0.75	46.3
2021.08.23	2021.08.25	Nézőpont	Telefonos	1000	52					46	35	49.96666667			1	1	46.26666667
2021.08.06	2021.08.19	Závecz	Személyes	1000	48.9					47.8	34	49.63333333			1	1.333333333	45.93333333
2021.07.22	2021.08.01	IDEA	Online	2000	48			3	4	44	32	49.3			1	1.333333333	46.26666667
2021.07.26	2021.07.28	Nézőpont	Telefonos	1000	51					47	31	49.5			1.5	2	45.5
2021.06.30	2021.07.04	IDEA	Online	2000	47			4	3	45	28	47			4	3	45
2021.06.08	2021.06.16	Závecz	Személyes	1000	47.3					50.3	25	49.76666667			2.333333333	2	45.1
2021.06.07	2021.06.09	Nézőpont	Telefonos	1000	52			3	2	43	24	49.76666667			2.333333333	2	45.1
2021.06.03	2021.06.08	Medián	Telefonos	1000	50			4	4	42	24	49.76666667			2.333333333	2	45.1
